token_id,piece,is_word_start,mean_nll,count,byte_length,is_punct,is_digit,is_uppercase
271,at,0,1.253521,28587,2,0,0,0
272,nd,0,0.675916,12995,2,0,0,0
273,ou,0,1.537023,7895,2,0,0,0
274,▁c,1,3.174098,39369,4,0,0,0
275,it,0,0.965668,25053,2,0,0,0
276,es,0,0.460960,46251,2,0,0,0
277,▁f,1,3.412099,34672,4,0,0,0
278,is,0,0.901446,19515,2,0,0,0
279,en,0,0.877598,28312,2,0,0,0
280,ing,0,0.495423,70668,3,0,0,0
281,▁b,1,3.465565,27152,4,0,0,0
282,▁p,1,3.170568,40817,4,0,0,0
283,▁o,1,4.123743,9745,4,0,0,0
284,an,0,1.010938,26138,2,0,0,0
285,ed,0,0.487944,69820,2,0,0,0
286,al,0,0.825934,39902,2,0,0,0
287,▁to,1,1.569102,74830,5,0,0,0
288,▁m,1,3.279520,35517,4,0,0,0
289,ar,0,1.266703,31707,2,0,0,0
290,▁and,1,2.288195,70588,6,0,0,0
291,▁in,1,2.727061,51171,5,0,0,0
292,▁of,1,1.162109,66493,5,0,0,0
293,▁d,1,3.587631,28637,4,0,0,0
294,le,0,0.775088,28135,2,0,0,0
295,ic,0,0.565151,24335,2,0,0,0
296,as,0,1.346287,15357,2,0,0,0
297,om,0,0.904243,16346,2,0,0,0
298,▁h,1,3.624886,19522,4,0,0,0
299,ion,0,0.320870,15916,3,0,0,0
300,▁th,1,3.945007,12329,5,0,0,0
301,il,0,1.064467,13614,2,0,0,0
302,▁T,1,3.434269,15987,4,0,0,1
303,ent,0,0.712995,19135,3,0,0,0
304,▁l,1,3.373665,28878,4,0,0,0
305,ve,0,0.792329,9343,2,0,0,0
306,▁y,1,4.637636,2024,4,0,0,0
307,ro,0,1.135651,14772,2,0,0,0
308,st,0,1.020180,12922,2,0,0,0
309,▁I,1,2.511348,26713,4,0,0,1
310,▁e,1,3.739935,20037,4,0,0,0
311,▁re,1,3.676707,22630,5,0,0,0
312,▁n,1,3.949774,11444,4,0,0,0
313,▁S,1,2.992949,28577,4,0,0,1
314,▁g,1,3.674730,20534,4,0,0,0
315,et,0,0.846471,22966,2,0,0,0
316,ct,0,0.401202,9185,2,0,0,0
317,▁A,1,3.081214,25218,4,0,0,1
318,▁you,1,1.965004,16082,6,0,0,0
319,▁C,1,2.900974,23738,4,0,0,1
320,ly,0,0.566172,23591,2,0,0,0
321,▁for,1,2.765003,29111,6,0,0,0
322,id,0,0.794679,17617,2,0,0,0
323,▁is,1,1.967523,29533,5,0,0,0
324,ay,0,0.969952,13373,2,0,0,0
325,▁on,1,2.948290,21475,5,0,0,0
326,▁be,1,2.448825,23805,5,0,0,0
327,ot,0,1.067602,16285,2,0,0,0
328,ow,0,1.221860,10052,2,0,0,0
329,ol,0,1.341891,13963,2,0,0,0
330,am,0,0.996175,16621,2,0,0,0
331,ac,0,1.497136,7645,2,0,0,0
332,ig,0,1.436956,8047,2,0,0,0
333,us,0,1.180827,11499,2,0,0,0
334,el,0,0.991045,14922,2,0,0,0
335,ad,0,0.934910,18076,2,0,0,0
336,im,0,1.031351,15955,2,0,0,0
337,▁M,1,3.033372,25757,4,0,0,1
338,ver,0,0.743532,11393,3,0,0,0
339,ith,0,1.140106,1900,3,0,0,0
340,ut,0,0.993237,18185,2,0,0,0
341,▁st,1,3.817021,18726,5,0,0,0
342,ation,0,0.470870,14592,5,0,0,0
343,ur,0,1.349657,17151,2,0,0,0
344,▁P,1,3.155878,19720,4,0,0,1
345,▁with,1,2.685419,20776,7,0,0,0
346,▁that,1,2.479475,25691,7,0,0,0
347,ir,0,1.496767,9891,2,0,0,0
348,▁B,1,3.217676,20358,4,0,0,1
349,▁W,1,3.545138,13144,4,0,0,1
350,ch,0,0.711480,13760,2,0,0,0
351,ce,0,0.700249,11281,2,0,0,0
352,▁The,1,2.338377,19942,6,0,0,1
353,▁it,1,2.678586,17514,5,0,0,0
354,▁he,1,3.094677,12771,5,0,0,0
355,ill,0,1.239050,9004,3,0,0,0
356,ers,0,0.713343,15818,3,0,0,0
357,▁al,1,4.815845,5638,5,0,0,0
358,un,0,1.313843,12606,2,0,0,0
359,ul,0,1.193076,6349,2,0,0,0
360,▁an,1,3.815820,13455,5,0,0,0
361,▁D,1,3.461904,15092,4,0,0,1
362,▁H,1,3.509401,13451,4,0,0,1
363,▁F,1,3.413218,15154,4,0,0,1
364,ra,0,1.577887,12626,2,0,0,0
365,out,0,1.507554,4792,3,0,0,0
366,▁as,1,3.069026,15867,5,0,0,0
367,▁pro,1,3.888587,10934,6,0,0,0
368,▁wh,1,4.656415,3738,5,0,0,0
369,ke,0,1.015459,2640,2,0,0,0
370,▁are,1,2.113033,14981,6,0,0,0
371,se,0,0.831661,10709,2,0,0,0
372,ter,0,0.562363,10698,3,0,0,0
373,▁we,1,3.141042,10144,5,0,0,0
374,if,0,1.224862,5609,2,0,0,0
375,oo,0,2.062956,2778,2,0,0,0
376,ge,0,0.537195,6068,2,0,0,0
377,▁ha,1,4.272039,4609,5,0,0,0
378,our,0,1.155185,9087,3,0,0,0
379,▁R,1,3.451337,13202,4,0,0,1
380,pp,0,0.818448,7291,2,0,0,0
381,ate,0,0.606620,14570,3,0,0,0
382,ess,0,0.692480,9345,3,0,0,0
383,▁at,1,3.478570,13674,5,0,0,0
384,▁con,1,4.439623,7221,6,0,0,0
385,▁com,1,4.645123,4633,6,0,0,0
386,▁or,1,3.487056,14508,5,0,0,0
387,▁L,1,3.448794,13569,4,0,0,1
388,est,0,0.938746,12004,3,0,0,0
389,her,0,0.412326,6410,3,0,0,0
390,ore,0,1.318373,5524,3,0,0,0
391,ment,0,0.296144,10818,4,0,0,0
392,▁fr,1,4.290877,2798,5,0,0,0
393,ab,0,1.433141,6635,2,0,0,0
394,igh,0,1.730406,1352,3,0,0,0
395,▁-,1,2.307656,12362,4,1,0,0
396,▁ne,1,4.806719,4741,5,0,0,0
397,▁N,1,3.794383,10891,4,0,0,1
398,▁se,1,4.125915,9062,5,0,0,0
399,ort,0,1.256720,6417,3,0,0,0
400,▁G,1,3.579402,12751,4,0,0,1
401,ld,0,0.541301,4834,2,0,0,0
402,▁your,1,2.509159,7515,7,0,0,0
403,▁E,1,3.582579,12708,4,0,0,1
404,ist,0,0.963848,12854,3,0,0,0
405,ri,0,1.256134,13410,2,0,0,0
406,op,0,1.541488,6892,2,0,0,0
407,▁(,1,3.253001,15051,4,1,0,0
408,▁ex,1,4.237070,10078,5,0,0,0
409,ity,0,0.509150,9714,3,0,0,0
410,ure,0,0.559511,8870,3,0,0,0
411,em,0,1.187373,10521,2,0,0,0
412,▁O,1,3.592938,12055,4,0,0,1
413,▁v,1,3.985523,11411,4,0,0,0
414,qu,0,1.234186,6835,2,0,0,0
415,ant,0,0.779548,8998,3,0,0,0
416,art,0,1.231158,5128,3,0,0,0
417,ive,0,0.797175,9006,3,0,0,0
418,▁r,1,4.114444,10127,4,0,0,0
419,ust,0,1.203759,6560,3,0,0,0
420,▁was,1,2.314646,13816,6,0,0,0
421,um,0,1.188458,11427,2,0,0,0
422,▁have,1,2.554732,11077,7,0,0,0
423,pe,0,0.992336,5061,2,0,0,0
424,▁from,1,2.962647,10865,7,0,0,0
425,▁this,1,3.351861,11145,7,0,0,0
426,▁de,1,4.153970,9452,5,0,0,0
427,oc,0,1.460593,6141,2,0,0,0
428,▁sh,1,4.437265,6439,5,0,0,0
429,th,0,0.951801,8371,2,0,0,0
430,ain,0,0.812657,11015,3,0,0,0
431,ies,0,0.622820,7510,3,0,0,0
432,▁can,1,2.799360,8468,6,0,0,0
433,up,0,1.684383,3555,2,0,0,0
434,▁will,1,2.790666,8701,7,0,0,0
435,▁ch,1,3.979211,9270,5,0,0,0
436,and,0,1.268371,9996,3,0,0,0
437,▁by,1,2.543763,11055,5,0,0,0
438,os,0,1.288138,8308,2,0,0,0
439,ight,0,1.039597,8003,4,0,0,0
440,nt,0,1.275194,2478,2,0,0,0
441,ie,0,1.042755,6600,2,0,0,0
442,▁us,1,3.638290,6512,5,0,0,0
443,ome,0,1.097259,2995,3,0,0,0
444,all,0,1.230750,10094,3,0,0,0
445,ard,0,0.859142,7302,3,0,0,0
446,▁not,1,3.010106,11218,6,0,0,0
447,ud,0,1.719905,3937,2,0,0,0
448,res,0,1.334377,5276,3,0,0,0
449,▁le,1,3.980798,9285,5,0,0,0
450,▁J,1,3.452009,10246,4,0,0,1
451,ast,0,1.348706,6490,3,0,0,0
452,▁pl,1,4.231264,5722,5,0,0,0
453,ost,0,1.457592,6066,3,0,0,0
454,▁su,1,4.419624,8813,5,0,0,0
455,▁ab,1,4.402876,2935,5,0,0,0
456,iv,0,1.056341,8671,2,0,0,0
457,ear,0,1.302087,3360,3,0,0,0
458,▁wor,1,3.840575,2952,6,0,0,0
459,ide,0,0.842101,7428,3,0,0,0
460,ack,0,1.384986,5481,3,0,0,0
461,ial,0,0.375977,5642,3,0,0,0
462,rou,0,1.427520,2145,3,0,0,0
463,▁all,1,4.202062,8251,6,0,0,0
464,gh,0,0.378021,1337,2,0,0,0
465,ell,0,1.527892,5463,3,0,0,0
466,od,0,1.260480,8249,2,0,0,0
467,ak,0,1.235273,5436,2,0,0,0
468,te,0,1.036663,8081,2,0,0,0
469,ine,0,0.962544,5881,3,0,0,0
470,ould,0,2.548955,366,4,0,0,0
471,▁j,1,4.531895,4290,4,0,0,0
472,ag,0,1.369531,7360,2,0,0,0
473,red,0,0.523760,7672,3,0,0,0
474,▁has,1,2.965945,7486,6,0,0,0
475,..,0,3.550485,1262,2,1,0,0
476,ice,0,0.597954,6838,3,0,0,0
477,▁Th,1,4.344638,3779,5,0,0,1
478,▁U,1,3.914231,5491,4,0,0,1
479,age,0,0.662208,6038,3,0,0,0
480,▁do,1,3.566478,7731,5,0,0,0
481,▁k,1,4.602488,3735,4,0,0,0
482,fe,0,0.744749,4867,2,0,0,0
483,ook,0,1.124605,3865,3,0,0,0
484,▁ad,1,4.808810,3891,5,0,0,0
485,per,0,0.878248,4129,3,0,0,0
486,▁In,1,3.621993,6947,5,0,0,1
487,ip,0,1.144503,4760,2,0,0,0
488,▁comp,1,4.298366,6649,7,0,0,0
489,ake,0,1.795113,1769,3,0,0,0
490,▁out,1,3.204795,6655,6,0,0,0
491,ally,0,0.594561,6932,4,0,0,0
492,ions,0,0.490769,6382,4,0,0,0
493,▁up,1,2.989050,6606,5,0,0,0
494,are,0,1.092385,6161,3,0,0,0
495,▁but,1,2.750753,7540,6,0,0,0
496,▁me,1,3.226166,6983,5,0,0,0
497,▁whe,1,4.648913,851,6,0,0,0
498,pt,0,0.420998,6625,2,0,0,0
499,ry,0,0.916577,6398,2,0,0,0
500,▁our,1,3.397026,4536,6,0,0,0
501,able,0,0.729673,5661,4,0,0,0
502,▁“,1,2.627273,6996,6,0,0,0
503,one,0,1.185923,6214,3,0,0,0
504,ind,0,1.249265,4407,3,0,0,0
505,og,0,1.288640,3996,2,0,0,0
506,▁en,1,4.262653,5597,5,0,0,0
507,▁more,1,3.494029,5962,7,0,0,0
508,ail,0,0.891743,5149,3,0,0,0
509,ite,0,0.634613,5566,3,0,0,0
510,ther,0,0.631143,2099,4,0,0,0
511,▁their,1,3.170904,5834,8,0,0,0
512,▁Y,1,3.609237,3369,4,0,0,1
513,ich,0,1.966251,1746,3,0,0,0
514,ime,0,0.977939,1607,3,0,0,0
515,very,0,1.226650,1001,4,0,0,0
516,cc,0,1.432787,2448,2,0,0,0
517,▁so,1,4.333250,5949,5,0,0,0
518,▁cl,1,4.473855,5767,5,0,0,0
519,ood,0,1.224588,3578,3,0,0,0
520,ong,0,0.968551,4011,3,0,0,0
521,ated,0,0.551538,6103,4,0,0,0
522,▁K,1,3.839585,6377,4,0,0,1
523,▁my,1,3.140183,5420,5,0,0,0
524,▁sa,1,4.867806,2041,5,0,0,0
525,for,0,1.689525,1249,3,0,0,0
526,ame,0,0.809545,6450,3,0,0,0
527,iz,0,0.963885,5278,2,0,0,0
528,ber,0,0.388214,6072,3,0,0,0
529,▁they,1,2.701135,6362,7,0,0,0
530,▁St,1,3.360151,5764,5,0,0,1
531,ace,0,0.721094,5383,3,0,0,0
532,▁te,1,3.982772,5303,5,0,0,0
533,▁one,1,4.251431,5885,6,0,0,0
534,so,0,1.273569,1056,2,0,0,0
535,ous,0,0.966376,2659,3,0,0,0
536,ans,0,0.795333,5832,3,0,0,0
537,act,0,0.955099,5243,3,0,0,0
538,pl,0,1.248330,6031,2,0,0,0
539,▁about,1,2.757231,5608,8,0,0,0
540,ike,0,1.499454,1190,3,0,0,0
541,du,0,1.001997,2462,2,0,0,0
542,▁cont,1,4.450721,5250,7,0,0,0
543,ase,0,0.991885,3645,3,0,0,0
544,▁V,1,4.167177,5002,4,0,0,1
545,▁im,1,4.459949,3060,5,0,0,0
546,ick,0,1.537994,5015,3,0,0,0
547,ia,0,0.637129,4972,2,0,0,0
548,▁work,1,4.265673,4081,7,0,0,0
549,▁inc,1,4.727486,2265,6,0,0,0
550,ign,0,1.440822,3158,3,0,0,0
551,ance,0,0.475383,4879,4,0,0,0
552,▁un,1,4.611721,5476,5,0,0,0
553,ire,0,1.184990,4837,3,0,0,0
554,▁off,1,3.917362,4768,6,0,0,0
555,ree,0,1.062194,5086,3,0,0,0
556,▁who,1,2.933999,5619,6,0,0,0
557,▁fe,1,4.030879,4456,5,0,0,0
558,▁man,1,4.615603,2773,6,0,0,0
559,ue,0,0.699762,5216,2,0,0,0
560,ach,0,1.048231,4716,3,0,0,0
561,▁tr,1,4.668114,4809,5,0,0,0
562,reat,0,1.804831,2237,4,0,0,0
563,ub,0,1.657799,5200,2,0,0,0
564,▁It,1,3.379343,4616,5,0,0,1
565,ll,0,1.397009,4841,2,0,0,0
566,▁go,1,3.984892,5449,5,0,0,0
567,ction,0,0.489341,4727,5,0,0,0
568,ne,0,1.271518,4622,2,0,0,0
569,▁new,1,3.980261,4334,6,0,0,0
570,▁year,1,2.125040,2386,7,0,0,0
571,▁app,1,4.527278,4625,6,0,0,0
572,ult,0,1.085396,4749,3,0,0,0
573,▁his,1,2.771992,6728,6,0,0,0
574,ib,0,1.266829,2817,2,0,0,0
575,ays,0,0.599221,4671,3,0,0,0
576,"▁""",1,2.985848,8707,4,1,0,0
577,▁Ch,1,4.156707,4527,5,0,0,1
578,erv,0,1.058381,2029,3,0,0,0
579,▁We,1,3.589787,4115,5,0,0,1
580,und,0,1.826333,2333,3,0,0,0
581,▁res,1,4.190735,4919,6,0,0,0
582,ap,0,1.579394,5429,2,0,0,0
583,ass,0,1.512630,4734,3,0,0,0
584,ark,0,1.391241,4363,3,0,0,0
585,ep,0,0.876700,4919,2,0,0,0
586,ff,0,0.885783,4967,2,0,0,0
587,▁qu,1,4.548108,4605,5,0,0,0
588,ations,0,0.697444,4539,6,0,0,0
589,ary,0,0.511815,5115,3,0,0,0
590,▁per,1,4.069733,4734,6,0,0,0
591,▁also,1,3.783970,4107,7,0,0,0
592,▁sp,1,4.862629,4294,5,0,0,0
593,ile,0,0.751032,4487,3,0,0,0
594,ove,0,1.235978,4155,3,0,0,0
595,▁int,1,5.823813,1341,6,0,0,0
596,▁which,1,3.364252,5020,8,0,0,0
597,▁time,1,2.436984,4238,7,0,0,0
598,ven,0,1.288895,2448,3,0,0,0
599,form,0,0.978878,2129,4,0,0,0
600,▁get,1,3.895917,4172,6,0,0,0
601,ount,0,1.017699,4388,4,0,0,0
602,own,0,0.610761,2326,3,0,0,0
603,▁like,1,3.454916,4535,7,0,0,0
604,▁some,1,4.488652,4502,7,0,0,0
605,▁other,1,3.429109,4748,8,0,0,0
606,ond,0,0.868803,4557,3,0,0,0
607,ings,0,0.869813,3943,4,0,0,0
608,ents,0,0.395459,3853,4,0,0,0
609,vel,0,0.689777,2290,3,0,0,0
610,▁any,1,3.604517,4831,6,0,0,0
